"CountryCode","Language","IsOfficial","Percentage"
"HUN","Slovak","F",0.1
"UZB","Tatar","F",1.8
"RUS","Chechen","F",0.6
"VNM","Khmer","F",1.4
"USA","Chinese","F",0.6
"AGO","Luvale","F",3.6
"AUS","Serbo-Croatian","F",0.6
"BGD","Tripuri","F",0.1
"BEN","Ful","F",5.6
"ZAF","Southsotho","F",7.6
"ETH","Walaita","F",2.8
"PHL","Pampango","F",3.0
"GIN","Loma","F",2.3
"IDN","Bugi","F",2.2
"IND","Gujarati","F",4.8
"IRN","Balochi","F",2.3
"ITA","Slovene","F",0.2
"AUT","Czech","F",0.2
"CMR","Maka","F",4.9
"CAN","Spanish","F",0.7
"KEN","Meru","F",5.5
"CHN","Yi","F",0.6
"KGZ","Tadzhik","F",0.8
"COD","Rundi","F",3.8
"LBR","Loma","F",5.8
"MOZ","Chuabo","F",5.7
"MMR","Kachin","F",1.4
"NAM","San","F",1.9
"NPL","Hindi","F",3.0
"NGA","Edo","F",3.3
"PAK","Hindko","F",2.4
"SLE","Kuranko","F",3.4
"SDN","Bari","F",2.5
"TZA","Chaga and Pare","F",4.9
"DNK","Norwegian","F",0.3
"TGO","Naudemba","F",4.1
"TCD","Tandjile","F",6.5
"CZE","Romani","F",0.3
"UGA","Lugbara","F",4.7
"UKR","Polish","F",0.1
"RUS","Mordva","F",0.5
"VNM","Nung","F",1.1
"USA","Tagalog","F",0.4
"AGO","Ambo","F",2.4
"AUS","German","F",0.6
"ZAF","Tsonga","F",4.3
"PHL","Pangasinan","F",1.8
"IDN","Banja","F",1.8
"IND","Kannada","F",3.9
"IRN","Arabic","F",2.2
"ITA","Romani","F",0.2
"AUT","Romanian","F",0.2
"CMR","Masana","F",3.9
"CAN","Portuguese","F",0.7
"KEN","Nyika","F",4.8
"CHN","Tujia","F",0.5
"COD","Teke","F",2.7
"LBR","Malinke","F",5.1
"MOZ","Ronga","F",3.7
"MMR","Kayah","F",0.4
"NAM","German","F",0.9
"NGA","Tiv","F",2.3
"PAK","Brahui","F",1.2
"SLE","Yalunka","F",3.4
"SDN","Fur","F",2.1
"TZA","Luguru","F",4.9
"TGO","Gurma","F",3.4
"TCD","Gorane","F",6.2
"CZE","Hungarian","F",0.2
"UGA","Gisu","F",4.5
"RUS","Kazakh","F",0.4
"VNM","Miao","F",0.9
"USA","Polish","F",0.3
"AGO","Luchazi","F",2.4
"ZAF","Swazi","F",2.5
"PHL","Maguindanao","F",1.4
"IDN","Bali","F",1.7
"IND","Malajalam","F",3.6
"IRN","Bakhtyari","F",1.7
"CAN","Punjabi","F",0.7
"KEN","Masai","F",1.6
"CHN","Mongolian","F",0.4
"COD","Boa","F",2.3
"MOZ","Marendje","F",3.5
"NGA","Ijo","F",1.8
"SDN","Chilluk","F",1.7
"TZA","Shambala","F",4.3
"UGA","Acholi","F",4.4
"RUS","Avarian","F",0.4
"VNM","Man","F",0.7
"USA","Korean","F",0.3
"ZAF","Venda","F",2.2
"PHL","Maranao","F",1.3
"IND","Orija","F",3.3
"IRN","Turkmenian","F",1.6
"CAN","Ukrainian","F",0.6
"KEN","Turkana","F",1.4
"CHN","Tibetan","F",0.4
"COD","Chokwe","F",1.8
"MOZ","Nyanja","F",3.3
"NGA","Bura","F",1.6
"SDN","Lotuko","F",1.5
"TZA","Gogo","F",3.9
"UGA","Rwanda","F",3.2
"RUS","Mari","F",0.4
"USA","Vietnamese","F",0.2
"ZAF","Ndebele","F",1.5
"IND","Punjabi","F",2.8
"CAN","Dutch","F",0.5
"CHN","Puyi","F",0.2
"TZA","Ha","F",3.5
"RUS","Udmur","F",0.3
"USA","Japanese","F",0.2
"IND","Asami","F",1.5
"CAN","Eskimo Languages","F",0.1
"CHN","Dong","F",0.2
"RUS","Belorussian","F",0.3
"USA","Portuguese","F",0.2
